Ulasan_clean,rating,label
Barang sesuai pesanan dan cepat sampai,5,1
Barang bagus harga murah,5,1
Paket rapi...mantap....cepat....sampe ke tujuan,5,1
ya saya puas dgn barangnya,5,1
Responya luar biasa b mantap,5,1
"seller top, pengiriman cepat barang oke",5,1
pengiriman cepat seller top,5,1
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,5,1
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5,1
"Barang mantap, pelayanan cepat",5,1
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5,1
Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,3,0
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,5,1
Mantaaaaaaaappp..........,5,1
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5,1
josss pokok e bisa buat langganan,5,1
"berfungsi dengan baik, normal",5,1
"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",5,1
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,5,1
Sesuai dengan deskripsi,5,1
"bagus,  packing aman pake bublewrap.  ndak ada yang patah",5,1
Barang sesuai deskripsi,5,1
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,1
barang sudah sampai sesuai pesanan .,5,1
Thanksssssssssssssss,3,0
Barang bagus sesuai info fast response,4,1
"barang ok....
pengriman cepet....",5,1
barang sudah sy terima gan thanks,4,1
paket telah diterima baik.. Terima kasih,5,1
"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",5,1
"barang sudah di terima, terima kasih ....",4,1
Barang sudah diterima .........,4,1
sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,5,1
sesuai deskripsi barangnya,5,1
Produk sesuai pesanan tp blm dcoba,4,1
Proses cepat dan mantap,5,1
sesuai deskripsi barangnya,5,1
Bagus sesuai dgn deskripsi thnks.,5,1
Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,5,1
seller is good. produknya mantap. 5 stars ya,5,1
"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",5,1
"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",5,1
Produk diterima utuh tersegel.. semoga awet,5,1
"Sesuai order, pengiriman cepat, respon cepat",4,1
Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,5,1
Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,5,1
"Makasih gan, barang sesuai",5,1
Pengiriman cepat. Fast respon. Barang sesuai. Trims,5,1
"Produknya bagus, berkualitas, dan berfungsi dg baik",5,1
brg diterima dg baik&amp; lengkap,5,1
Great Product &amp; Great Seller,5,1
"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",4,1
Sesuai dengan pesanan..............,4,1
Produk berfungsi dgn baik,5,1
"produk sesuai dengan deskripsi, tapi belum dicoba",5,1
Barang sesuai diskripsi dan layanan cepat,5,1
"Sudah diterima, terima kasih",5,1
Pesanan gx sesuai dgn yg d gambar,2,0
Sudah diterima dengan baik dan bisa di pakai.,5,1
Packing rapi dan respon cepat... recommended..!,4,1
Barang sudah diterima dg baik. Thx,4,1
"Barang bagus, kualitas sesuai harga",3,0
Terima kasih..........,5,1
"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",5,1
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,5,1
Sesuai yg diharapkan. Terimakasih.,5,1
"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",5,1
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,4,1
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,2,0
"Produk sesuai deskripsi, packing rapi.. rekomended..!",5,1
Ok lah.. sesuai denggan harga.,3,0
bukan merk kenmaster ternyata,4,1
Terimakasih barang sudah sampai,5,1
"Bagus..
Pengiriman cukup cepat",5,1
Siiiiiiiippppppppp...,5,1
Barang udh sampe...mksh....,4,1
Terimakasih barangnya udah sampai.,5,1
Fast respon dan terbaiks,5,1
makasih barang sudah sampai,5,1
Bagus.......top pengiriman cepat,4,1
thanksss........................,5,1
Merk beda tapi gpp yg penting ukrn sama,4,1
Lihat bintangnya aja dahhhhh,5,1
"bagus ,....................    ........",5,1
"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",5,1
Barang sudah sampai....tks..,5,1
"Bagus,,,,,, terimakasih .......",5,1
"barang sudah samapai gan, dan bagus",5,1
"mantafff, sangat-sangat sesuai,,,",5,1
Barang sudah diterima dengan baik...,5,1
"Pengiriman cepat, Kemasan bagus",5,1
SESUAI PERMINTAAN.. FAST RESPON,5,1
Matab...good...sesuai permintaan...,5,1
barang yg dikirim tidak sesuai pesanan,1,0
barang lumayan kuat.... good,5,1
sudah sampai murah meriah,5,1
"sudah di terima bos
packing bagus, aman",5,1
"makasih, barang sesuai gambar",5,1
langsung dipakai. mantap. thanks. maaf baru kasi testi,5,1
"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",5,1
ok.....................................,4,1
terimakasih barang sdh diterima,4,1
Unit nya sudah sampai....thanks,4,1
Barang sudah sampai.. terima kasih,3,0
ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,5,1
"good.......cepat, packing aman.....",5,1
Barang sangat bagus sesuai diskripsi,5,1
mantap sampai dengan aman gan.............................,5,1
barang udah nyampe om makasihhhhh,5,1
recomended....................................,5,1
"barang sesuai, pengiriman cepat, ok",5,1
mantab... fast respone.. tx u..,5,1
"Barang bagus, packing cukup, kurir ramah",5,1
Mantapppp banget ......,5,1
produk sesuai dan bagus. thanks,5,1
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1,0
Terima kasih semoga bermanfaat..,5,1
Barang sesuai gambar dan diterima dalam kondisi baik,5,1
"Trmksih banyak juragan....
Atas kerjasamanya.....",5,1
Keren produk nya mantaps,5,1
Barangnya sesuai syn digambar,4,1
"barang bagus...packing rapi,pokoknya top bgt",5,1
ok..................     . ..     .         ..,5,1
Sesuai dengan apa yg sudah dijelaskan pada detail produk,5,1
"Barang cepat sampai, tapi belum dicoba, besoklah kucoba dulu ya. baru testi lagi. thx",5,1
Fast respon. Barang sesuai dengan di gambar,3,0
"Barang bagus,pengiriman cepat,recomended",5,1
barang dah nyampek. trimakasih,4,1
barang sudah diterima dengan baik dan sesuai,5,1
"cepet respon'a
pesen pagi, siang udh sampe",5,1
"mantab...cepat sekali pengiriman
pesan pagi...siang udah dteng
barangnya jg bagus....thx",5,1
Trimsssssss...................,5,1
barang Bagus pengiriman cepat ..........,5,1
sudah terima dan respon cepat.....................................,4,1
